pattern,tool,start_date,end_date
codex/,Codex,,
copilot/,Copilot,,
jetbrains_junie,Junie,,
cursor/,Cursor,,
openhands/,OpenHands,,
devin/,Devin,,
gru/,Gru,,
claudecode/,Claude Code,,
claudecode/,Claude Code,,
claude/,Claude Code,,
opencode/,Opencode,,
jules/,Jules,,
sweep/,Sweep,,
coderabbit/,Coderabbit,,
sourcery-ai/,Sourcery,,
windsurf-bot/,Windsurf,,
open-swe/,Langchain Open SWE,,
codegen-bot/,Codegen,,
serena/,Serena,,
goose/,Goose,,
